id,delFlag,deletedOn,version,bankName,branchName,sortCode
1488,N,,0,FirstBankofNigeriaPLC,NEWBENINMARKETBENIN,11044521
1489,N,,0,FirstBankofNigeriaPLC,BENINMMWAY,11044534
1490,N,,0,FirstBankofNigeriaPLC,BENINUSELU,11044602
1491,N,,0,FirstBankofNigeriaPLC,BENINUPPERSAKPONBA,11044615
1492,N,,0,FirstBankofNigeriaPLC,AUCHI,11045591
1493,N,,0,FirstBankofNigeriaPLC,BENINEKEHUAN,11045915
1494,N,,0,FirstBankofNigeriaPLC,KATSINAALA,11052225
1495,N,,0,FirstBankofNigeriaPLC,MAKURDI,11052539
1496,N,,0,FirstBankofNigeriaPLC,OTUKPO,11052885
1497,N,,0,FirstBankofNigeriaPLC,VANDEIKYA,11053402
1498,N,,0,FirstBankofNigeriaPLC,NAKA,11053428
1499,N,,0,FirstBankofNigeriaPLC,MAKURDIMORDERNMKT,11054980
1500,N,,0,FirstBankofNigeriaPLC,OTUKPOMARKET,11055578
1501,N,,0,FirstBankofNigeriaPLC,GBOKO,11055769
1502,N,,0,FirstBankofNigeriaPLC,MAKURDINORTHBANK,11056276
1503,N,,0,FirstBankofNigeriaPLC,DAMBOA,11061326
1504,N,,0,FirstBankofNigeriaPLC,KONDUGAAGENCY,11062245
1505,N,,0,FirstBankofNigeriaPLC,MAIDUGURI,11062503
1506,N,,0,FirstBankofNigeriaPLC,UBA-KUMAGUM,11063388
1507,N,,0,FirstBankofNigeriaPLC,NEWMAIDUGURI(M.MKT),11063560
1508,N,,0,FirstBankofNigeriaPLC,KWAJAFA,11063670
1509,N,,0,FirstBankofNigeriaPLC,DAMASAK,11066787
1510,N,,0,FirstBankofNigeriaPLC,CALABARMAIN,11071206
1511,N,,0,FirstBankofNigeriaPLC,UNIVERSITYOFCALABAR,11071248
1512,N,,0,FirstBankofNigeriaPLC,EKORI,11071374
1513,N,,0,FirstBankofNigeriaPLC,IKOM,11071785
1514,N,,0,FirstBankofNigeriaPLC,OBUBRA,11072894
1515,N,,0,FirstBankofNigeriaPLC,CALABARFTZ,11074300
1516,N,,0,FirstBankofNigeriaPLC,CALABAR(NDIDEMISOROAD),11075192
1517,N,,0,FirstBankofNigeriaPLC,TINAPA,11075355
1518,N,,0,FirstBankofNigeriaPLC,OBUDU,11075927
1519,N,,0,FirstBankofNigeriaPLC,UGEP,11075943
1520,N,,0,FirstBankofNigeriaPLC,CALABARMAYNEAVENUE,11075956
1521,N,,0,FirstBankofNigeriaPLC,OGOJA,11076382
1522,N,,0,FirstBankofNigeriaPLC,AKAMKPA,11076612
1523,N,,0,FirstBankofNigeriaPLC,CALABARIMANJUNCTION,11076625
1524,N,,0,FirstBankofNigeriaPLC,ABAJI,11081681
1525,N,,0,FirstBankofNigeriaPLC,ABUJAGARKI,11084002
1526,N,,0,FirstBankofNigeriaPLC,ABUJAMAIN,11084060
1527,N,,0,FirstBankofNigeriaPLC,ABUJANNAMDIAZIKIWEINT'LAIRPORT,11084170
1528,N,,0,FirstBankofNigeriaPLC,ABUJAGWAGALADA,11084374
1529,N,,0,FirstBankofNigeriaPLC,ABUJAWUSE,11084387
1530,N,,0,FirstBankofNigeriaPLC,ABUJAZUBA,11084390
1531,N,,0,FirstBankofNigeriaPLC,ABUJAKARU,11084400
1532,N,,0,FirstBankofNigeriaPLC,ABUJASHIPPER'SPLAZA,11084565
1533,N,,0,FirstBankofNigeriaPLC,ABUJABOLINGOHOTELS,11084578
1534,N,,0,FirstBankofNigeriaPLC,ABUJANATIONALASSEMBLYCOMPLEX,11084840
1535,N,,0,FirstBankofNigeriaPLC,ABUJABANEXPLAZA,11084921
1536,N,,0,FirstBankofNigeriaPLC,ABUJAJOSSTREET,11085069
1537,N,,0,FirstBankofNigeriaPLC,ABUJAGARKIULTRALMOD.MKT,11085399
1538,N,,0,FirstBankofNigeriaPLC,ABUJADEIDEIMARKET,11085700
1539,N,,0,FirstBankofNigeriaPLC,ABUJAKUBWA,11085726
1540,N,,0,FirstBankofNigeriaPLC,ABUJAASOKORO,11085797
1541,N,,0,FirstBankofNigeriaPLC,ABUJANEWWUSEMARKET,11085807
1542,N,,0,FirstBankofNigeriaPLC,ABUJAZUBA2,11085810
1543,N,,0,FirstBankofNigeriaPLC,ABUJAMAITAMA,11086068
1544,N,,0,FirstBankofNigeriaPLC,BWARI,11086398
1545,N,,0,FirstBankofNigeriaPLC,NYANYA,11086903
1546,N,,0,FirstBankofNigeriaPLC,FUFORE,11091529
1547,N,,0,FirstBankofNigeriaPLC,GANYE,11091642
1548,N,,0,FirstBankofNigeriaPLC,HONG,11091707
1549,N,,0,FirstBankofNigeriaPLC,MICHIKA,11092544
1550,N,,0,FirstBankofNigeriaPLC,MAYO-BELWA,11092586
1551,N,,0,FirstBankofNigeriaPLC,GULAK,11093488
1552,N,,0,FirstBankofNigeriaPLC,YOLAMAIN,11093608
1553,N,,0,FirstBankofNigeriaPLC,YOLAMARKET,11093640
1554,N,,0,FirstBankofNigeriaPLC,GARKIDA,11093734
1555,N,,0,FirstBankofNigeriaPLC,MUBI,11095538
1556,N,,0,FirstBankofNigeriaPLC,WARRIAIRPORTROAD,11095622
1557,N,,0,FirstBankofNigeriaPLC,NUMAN,11095787
1558,N,,0,FirstBankofNigeriaPLC,MAIDUGURIKANOROAD,11095826
1559,N,,0,FirstBankofNigeriaPLC,NKWOAGUISUOCHI,11102612
1560,N,,0,FirstBankofNigeriaPLC,OKWELLE,11102667
1561,N,,0,FirstBankofNigeriaPLC,OWERRIMAIN,11102793
1562,N,,0,FirstBankofNigeriaPLC,AMARAKU,11103271
1563,N,,0,FirstBankofNigeriaPLC,UMUOWA,11103349
1564,N,,0,FirstBankofNigeriaPLC,URUALLA,11103394
1565,N,,0,FirstBankofNigeriaPLC,OWERRIDOUGLASROAD,11103417
1566,N,,0,FirstBankofNigeriaPLC,AKATTA,11103996
1567,N,,0,FirstBankofNigeriaPLC,OKIGWE,11104704
1568,N,,0,FirstBankofNigeriaPLC,ORLUTOWN,11105363
1569,N,,0,FirstBankofNigeriaPLC,AKOKWA,11105677
1570,N,,0,FirstBankofNigeriaPLC,NKWERRE,11105994
1571,N,,0,FirstBankofNigeriaPLC,OWERRIWETHERAL,11106126
1572,N,,0,FirstBankofNigeriaPLC,OWERRIORLUROAD,11106524
1573,N,,0,FirstBankofNigeriaPLC,MBAISE,11106605
1574,N,,0,FirstBankofNigeriaPLC,OWERRIPHRDBR,11106689
1575,N,,0,FirstBankofNigeriaPLC,KADUNAKAWO,11111674
1576,N,,0,FirstBankofNigeriaPLC,KADUNAMAIN,11112107
1577,N,,0,FirstBankofNigeriaPLC,KADUNABANKROAD,11112110
1578,N,,0,FirstBankofNigeriaPLC,KADUNASOUTH,11112123
1579,N,,0,FirstBankofNigeriaPLC,SAMARU,11113135
1580,N,,0,FirstBankofNigeriaPLC,KAFANCHAN,11113520
1581,N,,0,FirstBankofNigeriaPLC,ZARIA,11113708
1582,N,,0,FirstBankofNigeriaPLC,KADUNATUDUNWADA,11114862
1583,N,,0,FirstBankofNigeriaPLC,KADUNACENTRALMKT,11114972
1584,N,,0,FirstBankofNigeriaPLC,KADUNAPPMC,11116239
1585,N,,0,FirstBankofNigeriaPLC,BIRNINGWARI,11116336
1586,N,,0,FirstBankofNigeriaPLC,KACHIA,11116349
1587,N,,0,FirstBankofNigeriaPLC,KANOBOMPAI,11121130
1588,N,,0,FirstBankofNigeriaPLC,KANOMAIN,11122155
1589,N,,0,FirstBankofNigeriaPLC,KANOFAGGETAKUDU,11122168
1590,N,,0,FirstBankofNigeriaPLC,MALLAMAMINUKANOINT.LAIRPORT,11123361
1591,N,,0,FirstBankofNigeriaPLC,KANOZOOROAD,11123727
1592,N,,0,FirstBankofNigeriaPLC,KANOCLUBROAD,11123743
1593,N,,0,FirstBankofNigeriaPLC,KANOABUBAKARRIMIMKT,11124823
1594,N,,0,FirstBankofNigeriaPLC,KANOBELLOROAD,11125123
1595,N,,0,FirstBankofNigeriaPLC,KANODAWANAU,11125178
1596,N,,0,FirstBankofNigeriaPLC,KANOKOFARUWA,11125518
1597,N,,0,FirstBankofNigeriaPLC,BICHI,11126245
1598,N,,0,FirstBankofNigeriaPLC,ZARIAROAD,11126588
1599,N,,0,FirstBankofNigeriaPLC,FUNTUA,11131502
1600,N,,0,FirstBankofNigeriaPLC,KATSINA,11132213
1601,N,,0,FirstBankofNigeriaPLC,MALLUMFASHI,11132514
1602,N,,0,FirstBankofNigeriaPLC,DAURA,11135692
1603,N,,0,FirstBankofNigeriaPLC,DANDUME,11136222
1604,N,,0,FirstBankofNigeriaPLC,TALATAMAFARA,11136361
1,N,,0,ACCESSBANKPLC,ABABRANCH,44230205
2,N,,0,ACCESSBANKPLC,AZIKWEROADABABRANCH,44231233
3,N,,0,ACCESSBANKPLC,DUKEHOUSEBRANCH,44232465
4,N,,0,ACCESSBANKPLC,FAULKSROADBRANCH,44232177
5,N,,0,ACCESSBANKPLC,UMUAHIABRANCH,44230726
6,N,,0,ACCESSBANKPLC,UMUAHIABRANCH,44231864
7,N,,0,ACCESSBANKPLC,UMUDIKEBRANCH,44232575
8,N,,0,ACCESSBANKPLC,ABUJANNPCTOWERSBRANCH,44082440
9,N,,0,ACCESSBANKPLC,ADETOKUNBOADEMOLA,ABUJABRANCH,44080439
10,N,,0,ACCESSBANKPLC,AMINUKANOABUJABRANCH,44080099
11,N,,0,ACCESSBANKPLC,ASOKOROBRANCH,44080947
12,N,,0,ACCESSBANKPLC,BANKOFINDUSTRYABUJABRANCH,44081124
13,N,,0,ACCESSBANKPLC,CADASTRALBRANCH,44081179
14,N,,0,ACCESSBANKPLC,DEIDEIBRANCH,44082042
15,N,,0,ACCESSBANKPLC,DURUMIBRANCH,44083193
16,N,,0,ACCESSBANKPLC,ENUGUHOUSEBRANCH,44081784
17,N,,0,ACCESSBANKPLC,FEDMINOFJUSTICEBRANCH,44082181
18,N,,0,ACCESSBANKPLC,FEDSECT.ABUJABRANCH,44081690
19,N,,0,ACCESSBANKPLC,FEDERALMORTGAGEBANKBRANCH,44082194
20,N,,0,ACCESSBANKPLC,GARKIBRANCH,44081221
21,N,,0,ACCESSBANKPLC,GARKIBRANCH,44080879
22,N,,0,ACCESSBANKPLC,GWAGWALADABRANCH,44082929
23,N,,0,ACCESSBANKPLC,PPPRABRANCH,44080565
24,N,,0,ACCESSBANKPLC,JOSSTREETABUJABRANCH,44081182
25,N,,0,ACCESSBANKPLC,KARUBRANCH,44081797
26,N,,0,ACCESSBANKPLC,KUBWABRANCH,44081043
27,N,,0,ACCESSBANKPLC,LADOKEAKINTOLABLVDBRANCH,44081946
28,N,,0,ACCESSBANKPLC,MAITAMABRANCH,44082916
29,N,,0,ACCESSBANKPLC,NASDABRANCH,44081881
30,N,,0,ACCESSBANKPLC,NATIONALASSEMBLYBRANCH,44080866
31,N,,0,ACCESSBANKPLC,DOUALASTRBRANCH,44081069
32,N,,0,ACCESSBANKPLC,TOFAHOUSEBRANCH,44082495
33,N,,0,ACCESSBANKPLC,UTAKOBRANCH,44081894
34,N,,0,ACCESSBANKPLC,WUSEBRANCH,44081483
35,N,,0,ACCESSBANKPLC,YOLABRANCH,44090597
36,N,,0,ACCESSBANKPLC,AKAROADBRANCH,44012708
37,N,,0,ACCESSBANKPLC,EKETBRANCH,44013040
38,N,,0,ACCESSBANKPLC,IKOTEKPENEBRANCH,44011505
39,N,,0,ACCESSBANKPLC,ORONBRANCH,44011343
40,N,,0,ACCESSBANKPLC,WELLINGTONBASSEYBRANCH,44010360
41,N,,0,ACCESSBANKPLC,AWKABRANCH,44021375
42,N,,0,ACCESSBANKPLC,AWKABRANCH,44020761
43,N,,0,ACCESSBANKPLC,BRIDGEHEADBRANCH,44021540
44,N,,0,ACCESSBANKPLC,EDOEZEMEWIRDBRANCH,44020703
45,N,,0,ACCESSBANKPLC,EKWULOBIAMAINBRANCH,44021760
46,N,,0,ACCESSBANKPLC,IHIALABRANCH,44021278
47,N,,0,ACCESSBANKPLC,NEWMARKETROADBRANCH,44020282
48,N,,0,ACCESSBANKPLC,NEWMARKETROADBRANCH,44021155
49,N,,0,ACCESSBANKPLC,OGIDIBRANCH,44023247
50,N,,0,ACCESSBANKPLC,STOCKEXCHANGEBRANCH,44021870
51,N,,0,ACCESSBANKPLC,UMUNZEBRANCH,44023069
52,N,,0,ACCESSBANKPLC,UNIZIKBRANCH,44022031
53,N,,0,ACCESSBANKPLC,UPPERIWEKABRANCH,44021498
54,N,,0,ACCESSBANKPLC,BAUCHIBRANCH,44030340
55,N,,0,ACCESSBANKPLC,MBIAMAYENAGOARDBRANCH,44320636
56,N,,0,ACCESSBANKPLC,YENAGOAMAJORAXISBRANCH,44321350
57,N,,0,ACCESSBANKPLC,TWONBRASS,44323277
58,N,,0,ACCESSBANKPLC,GBOKOBRANCH,44051772
59,N,,0,ACCESSBANKPLC,GBOKOMAINBRANCH,44051604
60,N,,0,ACCESSBANKPLC,MAKURDIBRANCH,44052124
61,N,,0,ACCESSBANKPLC,MAKURDIBRANCH,44050333
62,N,,0,ACCESSBANKPLC,OTURKPOBRANCH,44052768
63,N,,0,ACCESSBANKPLC,ZAKIIBIAMBRANCH,44052593
64,N,,0,ACCESSBANKPLC,BIUBRANCH,44063236
65,N,,0,ACCESSBANKPLC,MAIDUGURIBRANCH,44060352
66,N,,0,ACCESSBANKPLC,CALABARBRANCH,44071477
67,N,,0,ACCESSBANKPLC,CALABARROADBRANCH,44070261
68,N,,0,ACCESSBANKPLC,OGOJABRANCH,44072298
69,N,,0,ACCESSBANKPLC,AGBORBRANCH,44041915
70,N,,0,ACCESSBANKPLC,DECOROADBRANCH,44042341
71,N,,0,ACCESSBANKPLC,EFFURURNSAPELEROADBRANCH,44040233
72,N,,0,ACCESSBANKPLC,NNEBISIROADBRANCH,44040259
73,N,,0,ACCESSBANKPLC,SAPELEBRANCH,44042419
74,N,,0,ACCESSBANKPLC,ABAKALIKIBRANCH,44330626
75,N,,0,ACCESSBANKPLC,ABAKALIKIBRANCH,44331683
76,N,,0,ACCESSBANKPLC,AIRPORTROADBRANCH,44042558
77,N,,0,ACCESSBANKPLC,AUCHIBRANCH,44043052
78,N,,0,ACCESSBANKPLC,BENINBRANCH,44040301
79,N,,0,ACCESSBANKPLC,IHAMABRANCH,44043308
80,N,,0,ACCESSBANKPLC,EKPOMABRANCH,44042545
81,N,,0,ACCESSBANKPLC,MISSIONROADBRANCH,44041452
82,N,,0,ACCESSBANKPLC,OKADABRANCH,44042561
83,N,,0,ACCESSBANKPLC,SAPELEROADBRANCH,44040903
84,N,,0,ACCESSBANKPLC,TEXTILEMILLROADBRANCH,44041724
85,N,,0,ACCESSBANKPLC,UNIBENBRANCH,44040699
86,N,,0,ACCESSBANKPLC,USELUBRANCH,44040974
87,N,,0,ACCESSBANKPLC,ADOEKITIBRANCH,44340386
88,N,,0,ACCESSBANKPLC,IJEROEKITICASHCENTRE,44342012
89,N,,0,ACCESSBANKPLC,ABAKALIKIROAD,ENUGUBRANCH,44252872
90,N,,0,ACCESSBANKPLC,ABAKPANIKEBRANCH,44253088
91,N,,0,ACCESSBANKPLC,AGBANIROADBRANCH,44252827
92,N,,0,ACCESSBANKPLC,ENUGUROADBRANCH,44251527
93,N,,0,ACCESSBANKPLC,ENUGUSTATEUNIVERSITYBRANCH,44252814
94,N,,0,ACCESSBANKPLC,KENYATTABRANCH,44251909
95,N,,0,ACCESSBANKPLC,OGUIROADBRANCH,44250793
96,N,,0,ACCESSBANKPLC,OKPARAAVENUEBRANCH,44251381
97,N,,0,ACCESSBANKPLC,UNIVERSITYOFNIGERIABRANCH,44250913
98,N,,0,ACCESSBANKPLC,UNNNSUKKABRANCH,44252830
99,N,,0,ACCESSBANKPLC,ASHAKACASHCENTRE,44350606
