name,code,userType,category,description
Retail  Local Transfer Report ,LOCAL_TRAN_RET,ADMIN,REPORT,Generate Local Transfer Report for Retail
Report test,LOCAL_TRAN_RET2,ADMIN,REPORT,Test Report
Report test,LOCAL_TRAN_RET2,OPERATIONS,REPORT,Test Report
Generate Report,GENERATE_REPORT,OPERATIONS,,Generate Report
Add Report,ADD_REPORT,ADMIN,,Add new Report
Edit report Details,EDIT_REPORT,ADMIN,,Edit report Details
Delete Report,DELETE_REPORT,ADMIN,,Delete Report
MANAGE INVESTMENT,MANAGE_INVESTMENT,RETAIL,,Manage Investment such as fixed deposit...
BOOK_FIX_DEPOSIT,BOOK_FIX_DEPOSIT,RETAIL,BOOK FIX DEPOSIT,BOOK_FIX_DEPOSIT
Feedback Status,FEEDBACK_STATUS,RETAIL,,Set Retail Menu for Feedback status
View Transactions,VIEW_TRANSACTIONS,OPERATIONS,,For Ops User to view transactions
Feedback Status,FEEDBACK_STATUS,CORPORATE,,Set Cororate Menu for Feedback status
Feedback Summary,FEEDBACK_SUMMARY,ADMIN,,To enable view of feedback Summary
Synchronize Token,RET_SYNC_TOKEN,RETAIL,,Retail Token Synchronization menu
Synchronize Token,RET_SYNC_TOKEN,CORPORATE,,Corporate Token synchronization menu
CUSTOM DUTY,CUSTOM_DUTY,CORPORATE,,
Rate Maintenace,MAINTAIN_RATE,OPERATIONS,,To enable menu view for Rate maintenace
MANAGE_INVESTMENT,MANAGE_INVESTMENT,CORPORATE,,
Manage service Request,MANAGE_SERV_REQ,RETAIL,,Manage service Request menu
Cheque Reguest,REQUEST-CHEQUE,RETAIL,,to enable menu for cheque request
Stop Cheque,STOP-CHEQUE,RETAIL,,to enable menu for stop cheque
Cheque Request,REQUEST-CHEQUE,CORPORATE,,to enable menu for cheque request
Stop Cheque,STOP-CHEQUE,CORPORATE,,to enable menu for stop cheque
Manage service Request,MANAGE_SERV_REQ,RETAIL,,To manage service request
Registered users,REPORT_REGISTERED_USERS,ADMIN,REPORT,Registered Users
Customer Feedback,CUSTOMER_FEEDBACK,OPERATIONS,REPORT,Customer Feedback
Confirm Cheque,CONFIRM-CHEQUE,RETAIL,,
Confirm Cheque,CONFIRM-CHEQUE,CORPORATE,,
Draft request,DRAFT-REQUEST,RETAIL,,
Draft request,DRAFT-REQUEST,CORPORATE,,
Link BVN TO Account,LINK-BVN,RETAIL,,
Link BVN TO Account,LINK-BVN,CORPORATE,,
Add Greeting ,ADD_GREETING,ADMIN,,For Adding Greetings
Update Greeting,UPDATE_GREETING,ADMIN,,To update a Greeting
Delete Greeting,DELETE_GREETING,ADMIN,,For deleting greeting
Add Investment rate,ADD_RATE,OPERATIONS,,For adding investment rate
Update Investment Rate,UPDATE_RATE,OPERATIONS,,For updating rate
Delete Invest rate,DELETE_RATE,OPERATIONS,,For deleting investment rate
view custom duty,VIEW_CUSTOM_DUTY,OPERATIONS,,for  custom duty
View Custom Duty,VIEW_CUSTOM_DUTY,OPERATIONS,,
Cheque Upload,UPLOAD-CHEQUE,CORPORATE,,To enable Menu for cheque Upload
TESTO,TESTO,CORPORATE,,TESTO
test1,test,CORPORATE,,testing
update corp user,UPDATE_CORPORATE_USER,RETAIL,corporate,update user
Get  Financial Institution,GET_FIN_INST,CORPORATE,Get Financial,Financial Institution
Get Cheques,GET_CHEQUES,CORPORATE,Corporate,To get uploaded cheques
Get corporate user,GET_CORPORATE_USER,CORPORATE,corporate,Get corporate user
Get corporate role,GET_CORPORATE_ROLE,CORPORATE,corporate,To get corporate role
Add corporate role,ADD_CORPORATE_ROLE,CORPORATE,corporate,To add corporate role
update corporate role,UPDATE_CORPORATE_ROLE,CORPORATE,corporate,To update corporate role
Maker Checker Config,MAKER_CHECKER_CONFIG,ADMIN,Admin,To enable maker checker
Reset Operators Password,RESET_OPS_PASSWORD,ADMIN,Admin,To enable reset of ops password
Bulk Transfer for Retail,BULK_TRANSFER,RETAIL,,Bulk Transfer for retail
Get Financial Institution,GET_FIN_INST,RETAIL,,Get Financial Institution
Get Financial Institution,GET_FIN_INST,CORPORATE,,Get Financial Institution
Get Financial Institution,GET_FIN_INST,RETAIL,,Get Financial Institution
Get Financial Institution,GET_FIN_INST,RETAIL,,Get Financial Institution
Make Transfer,MAKE_TRANSFER,CORPORATE,,Make Transfer
Make Transfer,MAKE_TRANSFER,RETAIL,,Make Transfer
International Transfer,INTERNATIONAL_TRANSFER,CORPORATE,,International Transfer
International Transfer,INTERNATIONAL_TRANSFER,RETAIL,,International Transfer
Manage bill payment,MANAGE_BILL_PAYMENT,RETAIL,,Perform Bill Payment
Manage bill payment,MANAGE_BILL_PAYMENT,CORPORATE,,Perform Bill Payment
Get Transfer,GET_TRANSFER,CORPORATE,,Get Transfer
Get Service Request Config Detail,GET_SERV_REQ_CONFIG,ADMIN,,Get the details of a service request configuration
Get Service Request Configurations,GET_SERV_REQ_CONFIGS,ADMIN,,Get the list of Service Request Configurations
Update Service Request Config,UPDATE_SERV_REQ_CONFIG,ADMIN,,Update a Service Request Configuraton
Delete Service Request Config,DELETE_SERV_REQ_CONFIG,ADMIN,,Delete a Service Request Configuraton
View Account Class Restrictions,GET_ACCT_CLASS_RESTRICTS,OPERATIONS,,Get all Account Class Restrictions
View Account Restrictions,GET_ACCT_RESTRICTS,OPERATIONS,,Get all Account Restrictions
Edit Account Class Restriction,UPDATE_ACCT_CLASS_RESTRICT,OPERATIONS,,Update Account Class Restriction
Edit Account Restriction,UPDATE_ACCT_RESTRICT,OPERATIONS,,Update Account Restriction
Add Account Class Restriction,ADD_ACCT_CLASS_RESTRICT,OPERATIONS,,Add Account Class Restriction
Add Account Restriction,ADD_ACCT_RESTRICT,OPERATIONS,,Add Account Restriction
Delete Account Restriction,DELETE_ACCT_RESTRICT,OPERATIONS,,Delete Account Restriction
Delete Account Class Restriction,DELETE_ACCT_CLASS_RESTRICT,OPERATIONS,,Delete Account  Class Restriction
Get Account Restriction,GET_ACCT_RESTRICT,OPERATIONS,,Get Account Restriction details
Get Account Class Restriction,GET_ACCT_CLASS_RESTRICT,OPERATIONS,,Get Account Class Restriction Details
View Admin Users,GET_ADMIN_USERS,ADMIN,,View list of Admin Users
Get Admin User,GET_ADMIN_USER,ADMIN,,Get Admin User
Delete Admin User,DELETE_ADMIN_USER,ADMIN,,Delete Admin User
Update Admin User,UPDATE_ADMIN_USER,ADMIN,,Update Admin User
Activate/Deactivate Admin User,UPDATE_ADMIN_USER_STATUS,ADMIN,,Activate/Deactivate Admin User
Reset Admin User Password,RESET_ADMIN_USER_PASSWD,ADMIN,,Reset Admin User Password
Change Admin User Password,CHANGE_ADMIN_USER_PASSWD,ADMIN,,Change Admin User Password
Update Audit Config,UPDATE_AUDIT_CONFIG,ADMIN,,Update Audit Config
Get Audit Tables,GET_AUDIT_TABLES,ADMIN,,Get Audit Tables
Add New Config Code,ADD_CODE,ADMIN,,New Config Code
Delete Configuration Code,DELETE_CODE,ADMIN,,Delete Configuration Code
Get Configuration Code,GET_CODE,ADMIN,,Get Configuration Code
Update Configuration Code,UPDATE_CODE,ADMIN,,Update Configuration Code
Get Configuration Codes,GET_CODES,ADMIN,,Get Configuration Codes
Add New Config Setting,ADD_SETTING,ADMIN,,Add New Config Setting
Update Config Setting,UPDATE_SETTING,ADMIN,,Update Config Setting
Delete Config Setting,DELETE_SETTING,ADMIN,,Delete Config Setting
Get Config Setting,GET_SETTING,ADMIN,,Get Config Setting
Get Config Settings,GET_SETTINGS,ADMIN,,Get Config Settings
Add New Corporate,ADD_CORPORATE,OPERATIONS,,Add New Corporate
Get Code,GET_CODE,RETAIL,,Get Configuration Codes
Get Codes,GET_CODES,RETAIL,,Get Configuration Code
Get Restricted Class Accounts,GET_ACCT_CLASS_RESTRICTS,RETAIL,,Get Restricted Class Accounts
Get Restricted Accounts,GET_ACCT_RESTRICTS,RETAIL,,Get Restricted Accounts
Get Account Class Restriction,GET_ACCT_CLASS_RESTRICT,RETAIL,,Get Account Class Restriction
Get Account Restriction,GET_ACCT_RESTRICT,RETAIL,,Get Account Restriction
Get Service Request Config Detail,GET_SERV_REQ_CONFIG,RETAIL,,Get  a Service Request Configuration Details
Get Service Request Configurations,GET_SERV_REQ_CONFIGS,RETAIL,,Get Service Request Configurations
Add Corporate Beneficiary,ADD_BENEFICIARY,CORPORATE,,Add Corporate Beneficiary
Delete Corporate Beneficiary,DELETE_BENEFICIARY,CORPORATE,,Delete Corporate Beneficiary
Get Corporate Beneficiaries,GET_BENEFICIARIES,CORPORATE,,Get Corporate Beneficiaries
Get Retail Beneficiaries,GET_BENEFICIARIES,RETAIL,,Get Retail Beneficiaries
Add Retail Beneficiary,ADD_BENEFICIARY,RETAIL,,Add Retail Beneficiary
Delete Retail Beneficiary,DELETE_BENEFICIARY,RETAIL,,Delete Retail Beneficiary
Create Corporate,ADD_CORPORATE,OPERATIONS,,Create Corporate on Internet Banking
Delete Corporate,DELETE_CORPORATE,OPERATIONS,,Delete Corporate from Internet Banking
Update Corporate,UPDATE_CORPORATE,OPERATIONS,,Update Corporate Details
Get Corporates,GET_CORPORATE,OPERATIONS,,Get Corporates
Get Corporates,GET_CORPORATE,CORPORATE,,Get Corporates
Set Corporate Limit,SET_CORPORATE_LIMIT,CORPORATE,,Set Corporate Limit
Update Corporate Limit,UPDATE_CORPORATE_LIMIT,CORPORATE,,Update Corporate Limit
Get Coporate Limit,GET_CORPORATE_LIMIT,CORPORATE,,Get Corporate Limit
Delete Corporate Limit,DELETE_CORPORATE_LIMIT,CORPORATE,,Delete Corporate Limit
Change Corporate Status,UPDATE_CORPORATE_STATUS,OPERATIONS,,Change Corporate Status
Add Corporate Account,ADD_CORPORATE_ACCOUNT,OPERATIONS,,Add Corporate Account
Add Corporate Account,ADD_CORPORATE_ACCOUNT,CORPORATE,,Add Corporate Account
Get Corporate Accounts,GET_CORPORATE_ACCOUNT,CORPORATE,,Get Corporate Accounts
Get Corporate Accounts,GET_CORPORATE_ACCOUNT,OPERATIONS,,Get Corporate Accounts
Add Corporate Rule,ADD_CORPORATE_RULE,OPERATIONS,,Add Corporate Rule
Get Corporate Rules,GET_CORPORATE_RULE,OPERATIONS,,Get Corporate Rules
Update Corporate Rule,UPDATE_CORPORATE_RULE,OPERATIONS,,Update Corporate Rule
Delete Corporate Rules,DELETE_CORPORATE_RULE,OPERATIONS,,Delete Corporate Rules
Get Corporate Users,GET_CORPORATE_USER,OPERATIONS,,Get Corporate Users
Get Corporate Users,GET_CORPORATE_USER,CORPORATE,,Get Corporate Users
Change Corporate User Status,UPDATE_CORP_USER_STATUS,OPERATIONS,,Change Corporate User Status
Change Corporate User Status,UPDATE_CORP_USER_STATUS,CORPORATE,,Change Corporate User Status
Get Transfer Rules,GET_TRANSFER_RULE,CORPORATE,,Get Transfer Rules
Get Transfer Rules,GET_TRANSFER_RULE,ADMIN,,Get Transfer Rules
Update Corporate User,UPDATE_CORPORATE_USER,OPERATIONS,,Update Corporate User
Update Corporate User,UPDATE_CORPORATE_USER,CORPORATE,,Update Corporate User
Add Corporate User,ADD_CORPORATE_USER,OPERATIONS,,Add Corporate User
Add Corporate User,ADD_CORPORATE_USER,CORPORATE,,Add Corporate User
Delete Corporate User,DELETE_CORPORATE_USER,OPERATIONS,,Delete Corporate User
Delete Corporate User,DELETE_CORPORATE_USER,CORPORATE,,Delete Corporate User
Add Financial Institution,ADD_FIN_INST,ADMIN,,Add Financial Institution
Update Financial Institution,UPDATE_FIN_INST,ADMIN,,Update Financial Institution
Delete Financial Institution,DELETE_FIN_INST,ADMIN,,Delete Financial Institution
Get Finanacial Institutions,GET_FIN_INST,ADMIN,,Get Finanacial Institutions
Send Email,SEND_EMAIL,ADMIN,,Send Email
Send Email,SEND_EMAIL,OPERATIONS,,Send Email
Send Email,SEND_EMAIL,RETAIL,,Send Email
Send Email,SEND_EMAIL,CORPORATE,,Send Email
Get Operations User,GET_OPS_USER,OPERATIONS,,Get Operations User
Get Operations User,GET_OPS_USER,ADMIN,,Get Operations User
Update Operations User,UPDATE_OPS_USER,ADMIN,,Update Operations User
Update Operations User,UPDATE_OPS_STATUS,ADMIN,,Update Operations User Activation Status
Delete Operations User,DELETE_OPS_USER,ADMIN,,Delete Operations User
Add Operations User,ADD_OPS_USER,ADMIN,,Add Operations User
Request History Management,REQUEST_HISTORY,OPERATIONS,,Request History Management
View Retail Users,GET_RETAIL_USER,OPERATIONS,,View Retail Users
View Retail Users,GET_RETAIL_USER,OPERATIONS,,View Retail Users
View User Details,GET_RETAIL_USER,RETAIL,,View Retail User Details
Delete Retail User,DELETE_RETAIL_USER,OPERATIONS,,Delete Retail User
Update Retail User Details,UPDATE_RETAIL_USER,RETAIL,,Update Retail User Details
Update Retail User Details,UPDATE_RETAIL_USER,OPERATIONS,,Update Retail User Details
Get Roles,GET_ROLE,ADMIN,,Get System Roles
Add Roles,ADD_ROLE,ADMIN,,Add System Roles
Update Roles,UPDATE_ROLE,ADMIN,,Update System Roles
Delete Role,DELETE_ROLE,ADMIN,,Delete Role
Get Transaction Limits,GET_TRANS_LIMIT,OPERATIONS,,Get Transaction Limits
Update Transaction Limit,UPDATE_TRANS_LIMIT,OPERATIONS,,Update Transaction Limit
Add Transaction Limit,ADD_TRANS_LIMIT,OPERATIONS,,Add Transaction Limit
Delete Transaction Limit,DELETE_TRANS_LIMIT,OPERATIONS,,Delete Transaction Limit
Perform Transfer,MAKE_TRANSFER,RETAIL,,Perform Transfer
